t,x=0.001,x=0.5,x=1
27.200000000000003,-6.5136062697442885,21.96192048863867,34.99057614876648
27.3,-11.219597712904124,17.04457860007883,31.462768356816994
27.400000000000002,-15.703894993490241,11.868336919526604,27.109804391821516
27.5,-19.946139677769906,6.612918011647957,22.26147402156944
27.6,-23.951235836006518,1.3891527844150406,17.139015422830862
27.700000000000003,-27.740668679912794,-3.7369500166240464,11.90153062016194
27.8,-31.34904857601689,-8.731324268821949,6.659502858675776
27.900000000000002,-34.822252132820935,-13.583592016177665,1.4843774939697671
28.0,-38.21481967853403,-18.302498548477676,-3.582719135322306
28.1,-41.584138685860935,-22.91501383085967,-8.523579645501297
28.200000000000003,-44.98034139109018,-27.468647019674155,-13.33763312406197
28.3,-48.428977758902505,-32.03530674087131,-18.039793641917733
28.400000000000002,-51.90588044170465,-36.71213109539301,-22.662447866216812
28.5,-55.31293929653439,-41.60996766730684,-27.263236336367736
28.6,-58.47771347739582,-46.81437507578037,-31.939715686742808
28.700000000000003,-61.203110279277304,-52.30691009852743,-36.84741943755206
28.8,-63.355190385020556,-57.86997013920034,-42.21406861085112
28.900000000000002,-64.9193259389026,-63.07274891122131,-48.31013830562156
29.0,-65.97939113998306,-67.44076145421361,-55.27222107874924
29.1,-66.65532579384853,-70.70920538548866,-62.64071641580371
29.200000000000003,-67.05549358667629,-72.9011134446406,-68.99845352355426
29.3,-67.25992606373215,-74.21435966475282,-73.02318737059872
29.400000000000002,-67.32338894158256,-74.90690403860681,-74.92719706314189
29.5,-67.28504111047359,-75.22045063419725,-75.68315156889166
29.6,-67.17537328206167,-75.32872394284044,-75.95536327307448
29.700000000000003,-67.01815072107635,-75.33281799193739,-76.03712897987803
29.8,-66.83055917912495,-75.28445812664822,-76.0419114410359
29.900000000000002,-66.62399528149359,-75.20857960500307,-76.01316961891918
30.0,-66.40552840153532,-75.11701755371249,-75.96808831587391
30.1,-66.17936557889583,-75.01543881680713,-75.91374492030955
30.200000000000003,-65.9479655437021,-74.90661474313175,-75.85316001126218
30.3,-65.71276618601004,-74.79193880422052,-75.78765011308225
30.400000000000002,-65.47462689721492,-74.6721354942663,-75.71778448209326
30.5,-65.23408257014411,-74.5475980514289,-75.643792192965
30.6,-64.99148742344249,-74.41855334887661,-75.56574320936129
30.700000000000003,-64.74709276829134,-74.28514451467004,-75.48363253760792
30.8,-64.50109150429807,-74.14747328827389,-75.39742109491078
30.900000000000002,-64.2536445444537,-74.00562231391997,-75.30705646262751
31.0,-64.00489488341555,-73.85966715212533,-75.2124839304847
31.1,-63.75497317989197,-73.70968286160439,-75.11365267109653
31.200000000000003,-63.50400090865413,-73.55574748879776,-75.01051934775894
31.3,-63.25209629906689,-73.3979439223966,-74.90305008291412
31.400000000000002,-62.99937578446014,-73.23636095129135,-74.79122225766244
31.5,-62.745951429753696,-73.07109383735153,-74.67502642137201
31.6,-62.491929642379155,-72.90224431395518,-74.55446612922171
31.700000000000003,-62.237416248233295,-72.72992043345768,-74.42955804247951
31.8,-61.982516914387496,-72.55423649846098,-74.30033205755619
31.900000000000002,-61.72733113991034,-72.37531284139916,-74.16683132746078
32.0,-61.47195223830303,-72.19327514612172,-74.02911209709153
32.1,-61.21647208109656,-72.00825387954558,-73.8872428620855
32.2,-60.96098294600836,-71.8203839145977,-73.74130425784112
32.300000000000004,-60.70556653906433,-71.6298042825048,-73.59139144737355
32.4,-60.45029837954522,-71.43665744619493,-73.43761200368407
32.5,-60.19525077622535,-71.24108856905008,-73.28008440518562
32.6,-59.94049733728041,-71.04324494582333,-73.11893699400427
32.7,-59.68609583755042,-70.84327544754126,-72.95430671345368
32.800000000000004,-59.43209821017245,-70.64132931302578,-72.786336295413
32.9,-59.178551233452794,-70.43755556124995,-72.6151780260765
33.0,-58.925504125092985,-70.232102727052,-72.44099403425726
33.1,-58.67298443571588,-70.02511846167096,-72.26395240262032
33.2,-58.42101432097034,-69.81674787192291,-72.08422509517852
33.300000000000004,-58.16960910131319,-69.6071327756217,-71.90198519898239
33.4,-57.91878779839612,-69.39641137578177,-71.71740313187793
33.5,-57.668541540191114,-69.18471771869959,-71.53065591301544
33.6,-57.41885633719811,-68.97218034268329,-71.34192459212014
33.7,-57.169709261820365,-68.758921629859,-71.15138922020968
33.800000000000004,-56.92108292248913,-68.54505761830043,-70.95922551954834
33.9,-56.67292534472081,-68.33069755079704,-70.76559764261492
34.0,-56.42517844834268,-68.11594151388235,-70.57066788558353
34.1,-56.17777316288667,-67.9008801707572,-70.37460232016264
34.2,-55.930647612358726,-67.6855949173932,-70.17756216372825
34.300000000000004,-55.68369861627646,-67.47015829466983,-69.97969894679906
34.4,-55.43681257300636,-67.25463128060885,-69.78114445286364
34.5,-55.18986264711267,-67.03906148333375,-69.58202087119335
34.6,-54.942730055794605,-66.8234835344912,-69.38245481694507
34.7,-54.695245673266925,-66.60792021011842,-69.18256529409356
34.800000000000004,-54.44722235067578,-66.39238036391008,-68.98245675927673
34.9,-54.19845678497347,-66.17685669349272,-68.7822046817617
35.0,-53.948749422911455,-65.96132427337238,-68.58186914757613
35.1,-53.697838245394834,-65.74574075819689,-68.38151669147426
35.2,-53.44543161977721,-65.53004550344441,-68.18120397005278
35.300000000000004,-53.191211852458885,-65.3141577184794,-67.98096764621755
35.4,-52.934855074272505,-65.0979738408658,-67.78080400283442
35.5,-52.67594948795163,-64.88136474607674,-67.58068825263298
35.6,-52.414037637289574,-64.6641722810093,-67.38060442665092
35.7,-52.148611920083354,-64.44620844827934,-67.1805227051039
35.800000000000004,-51.87913381352037,-64.2272529073109,-66.98038490879581
35.9,-51.60492259377266,-64.00704709638366,-66.7800760577758
36.0,-51.32522724467519,-63.785283079773954,-66.57944944592688
36.1,-51.03919570353697,-63.56159916529232,-66.37836567945189
36.2,-50.74585407884212,-63.335576987980424,-66.17666058210649
36.300000000000004,-50.444016071207635,-63.10672910687996,-65.97412339851452
